number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_pos_weight_scale,params_weight_decay,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
23,0.7567567567567568,2026-04-15 08:28:06.961825,2026-04-15 08:28:13.125224,0 days 00:00:06.163399,64,0.25484989109477363,384,0.0008353080821859381,3,0.9370298554410168,0.00010088928760187633,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.014462846331298351,COMPLETE
24,0.7777777777777778,2026-04-15 08:28:13.125449,2026-04-15 08:28:22.188973,0 days 00:00:09.063524,64,0.14732556347684111,384,0.0013733496308859785,2,0.8024511987412998,1.4214719600404805e-05,0.7777777777777778,0.8,0.7567567567567568,0.010122052393853664,COMPLETE
25,0.8,2026-04-15 08:28:22.189311,2026-04-15 08:28:30.985529,0 days 00:00:08.796218,64,0.24723482193118723,128,0.002045112220822351,2,1.1206573247588778,0.0004968731827548891,0.8,0.7894736842105263,0.8108108108108109,0.04970903322100639,COMPLETE
26,0.8108108108108109,2026-04-15 08:28:30.985737,2026-04-15 08:28:38.594183,0 days 00:00:07.608446,64,0.19776329993503436,384,0.0006559020681197265,3,1.2089783548875976,3.627731740193723e-05,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.08172070235013962,COMPLETE
27,0.8,2026-04-15 08:28:38.594536,2026-04-15 08:28:50.107929,0 days 00:00:11.513393,64,0.10057318750919957,384,0.0009255344592504405,2,1.0227577144315252,0.00023928688714545187,0.8,0.8484848484848485,0.7567567567567568,0.2901352345943451,COMPLETE
28,0.684931506849315,2026-04-15 08:28:50.108310,2026-04-15 08:29:04.363864,0 days 00:00:14.255554,32,0.3213460399262391,256,0.0003379515141680357,3,0.8634771677370445,0.00010950144277657907,0.684931506849315,0.6944444444444444,0.6756756756756757,0.012973133474588394,COMPLETE
29,0.8205128205128205,2026-04-15 08:29:04.364090,2026-04-15 08:29:15.453251,0 days 00:00:11.089161,16,0.27774570053715963,128,0.0005447194018940756,3,1.2916014291887317,0.0006221416402763318,0.8205128205128205,0.7804878048780488,0.8648648648648649,0.01907195895910263,COMPLETE
30,0.7441860465116279,2026-04-15 08:29:15.453535,2026-04-15 08:29:24.567979,0 days 00:00:09.114444,64,0.13346844430727242,128,0.0020522604489013807,2,0.9410312692960793,1.1584369852546179e-05,0.7441860465116279,0.6530612244897959,0.8648648648648649,0.013833491131663322,COMPLETE
31,0.6373626373626373,2026-04-15 08:29:24.568276,2026-04-15 08:29:33.115591,0 days 00:00:08.547315,64,0.18654033616584897,384,0.0011517112479417235,3,0.9946574688250174,1.7671662587273571e-06,0.6373626373626373,0.5370370370370371,0.7837837837837838,0.001346213510259986,COMPLETE
32,0.7894736842105263,2026-04-15 08:29:33.115821,2026-04-15 08:29:41.370339,0 days 00:00:08.254518,64,0.21079932972557971,384,0.001282551505608754,3,1.1088060009403313,4.930044374902454e-06,0.7894736842105263,0.7692307692307693,0.8108108108108109,0.006357179023325443,COMPLETE
33,0.8059701492537313,2026-04-15 08:29:41.370560,2026-04-15 08:29:49.988832,0 days 00:00:08.618272,64,0.2291430702139244,384,0.0010168370466693566,3,0.9425923199327794,2.314988830611009e-05,0.8059701492537313,0.9,0.7297297297297297,0.1293598860502243,COMPLETE
34,0.5510204081632653,2026-04-15 08:29:49.989142,2026-04-15 08:29:59.288869,0 days 00:00:09.299727,64,0.1868963149766015,384,0.0007981314299584888,3,1.1779701511989604,3.2126536304653894e-06,0.5510204081632653,0.4426229508196721,0.7297297297297297,0.01027594693005085,COMPLETE
35,0.6666666666666666,2026-04-15 08:29:59.289088,2026-04-15 08:30:07.218311,0 days 00:00:07.929223,16,0.15811847446072635,128,0.001907493379737138,3,0.8570848727493801,1.123316374176851e-06,0.6666666666666666,0.5660377358490566,0.8108108108108109,9.417899855179712e-05,COMPLETE
36,0.8888888888888888,2026-04-15 08:30:07.218614,2026-04-15 08:30:15.226770,0 days 00:00:08.008156,64,0.26922185894752176,384,0.0005695545660405968,3,1.0435496430423012,4.621641376794139e-05,0.8888888888888888,0.9142857142857143,0.8648648648648649,0.020716210827231407,COMPLETE
37,0.6823529411764706,2026-04-15 08:30:15.227051,2026-04-15 08:30:26.386219,0 days 00:00:11.159168,64,0.2726058201254101,384,0.0004444609581590103,3,1.0410079024338486,3.9810561286752536e-05,0.6823529411764706,0.6041666666666666,0.7837837837837838,0.00417482340708375,COMPLETE
38,0.821917808219178,2026-04-15 08:30:26.386440,2026-04-15 08:30:38.103673,0 days 00:00:11.717233,64,0.3036277229893913,128,0.0005927649629850734,3,1.1437894010644654,9.018600842671292e-05,0.821917808219178,0.8333333333333334,0.8108108108108109,0.1939479112625122,COMPLETE
39,0.8311688311688312,2026-04-15 08:30:38.104045,2026-04-15 08:30:49.581312,0 days 00:00:11.477267,32,0.3958208873331748,256,0.00035764053558321173,3,1.0850077372299838,1.7490325122043156e-05,0.8311688311688312,0.8,0.8648648648648649,0.016629084944725037,COMPLETE
