number,value,datetime_start,datetime_complete,duration,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_colsample_bytree,params_gamma,params_gen_pos_weight_mult,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_neg_weight_mult,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,params_real_pos_weight_mult,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_actual_w_generated_pos,user_attrs_actual_w_neg,user_attrs_actual_w_real_pos,user_attrs_text_mode,user_attrs_val_ap,user_attrs_val_best_threshold,user_attrs_val_f1,user_attrs_val_precision,user_attrs_val_recall,state
75,0.5999420622562707,2026-04-12 21:13:05.151480,2026-04-12 21:13:22.312317,0 days 00:00:17.160837,100,1,2,0.7685870035358616,2.857009911807646,0.5400472182287376,0.036405215840762416,1.7668802410953361,2,5,1400,1.1444056876391828,450,3,2,1.7162370887082914,0.6277142518777135,4.316292727053681,0.7289705762299881,0.675059022785922,1.1444056876391828,5.148711266124874,dual_text,0.604129347936296,0.6912733316421509,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
76,0.5754961524458281,2026-04-12 21:13:22.312646,2026-04-12 21:13:36.983282,0 days 00:00:14.670636,150,3,2,0.6231520471848552,3.139040947580476,0.5833100403617865,0.06761164053203543,0.8316227063144715,2,9,1300,1.4557080227635566,400,3,2,1.7809866417588123,0.23671593876455624,1.7335287873617728,0.7452016241678161,0.729137550452233,1.4557080227635566,5.342959925276437,dual_text,0.6415384148609379,0.7648072838783264,0.71875,1.0,0.5609756097560976,COMPLETE
77,0.5595366153693382,2026-04-12 21:13:36.983494,2026-04-12 21:13:51.272001,0 days 00:00:14.288507,150,1,1,0.722500324819145,1.946644092870026,0.8189458548179012,0.06188569771966662,0.892923914226976,2,5,1000,1.2556041224864423,300,3,2,1.7553261184446838,0.010856971685706351,2.56633944943632,0.7580255744403657,1.0236823185223765,1.2556041224864423,5.265978355334052,dual_text,0.5559824170731805,0.2704838514328003,0.7142857142857143,0.8620689655172413,0.6097560975609756,COMPLETE
78,0.6000815615097033,2026-04-12 21:13:51.272316,2026-04-12 21:14:05.925107,0 days 00:00:14.652791,200,1,2,0.7818163511495531,1.448959480125644,0.5566219851661629,0.04438599823540719,0.95395021911795,3,7,1200,1.2773314287559387,500,3,2,1.4652248172950921,0.005921775170702469,0.8362644389075355,0.769347898116017,0.6957774814577036,1.2773314287559387,4.395674451885276,dual_text,0.608779323050714,0.6595638394355774,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
79,0.6345381716687101,2026-04-12 21:14:05.925340,2026-04-12 21:14:21.712434,0 days 00:00:15.787094,250,1,2,0.5901043654253847,2.7274007504804816,0.6791515024051747,0.010616719846364716,0.7066313171295593,2,8,1100,1.312683063189542,450,3,2,1.705852460303808,0.08010836706304418,0.32350717149521335,0.8756113622359146,0.8489393780064685,1.312683063189542,5.117557380911425,dual_text,0.6384518761364871,0.8101980686187744,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
80,0.6345452617898607,2026-04-12 21:14:21.712659,2026-04-12 21:14:33.660393,0 days 00:00:11.947734,150,1,2,0.6676631996413968,3.3322804439831355,0.7712455247896342,0.016570833184107802,0.5740987379897049,2,6,1000,1.4883575659973936,400,3,1,1.3662708480293815,0.001085734769049944,0.016728707697002486,0.7200455184254309,0.9640569059870427,1.4883575659973936,4.098812544088144,dual_text,0.6386882135081757,0.69046550989151,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
81,0.6345262618814164,2026-04-12 21:14:33.660632,2026-04-12 21:14:45.145237,0 days 00:00:11.484605,150,1,2,0.6665753747425692,3.7749728102182125,0.7601315152396688,0.02692377620196312,0.5795019030331899,2,6,1000,1.467479432611623,400,3,1,1.2924379248956914,0.0013063594190274805,0.03150809392818034,0.7214855008103522,0.9501643940495861,1.467479432611623,3.8773137746870745,dual_text,0.6380548832267,0.7284584641456604,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
82,0.6344876735615309,2026-04-12 21:14:45.145468,2026-04-12 21:14:57.970830,0 days 00:00:12.825362,150,1,2,0.6942366489939114,3.3888393367415235,0.7309708755942527,0.01696636619616893,0.42778803588318126,2,6,1100,1.4904792277743675,350,3,1,1.3787438338399802,0.0009098706040127151,0.010342376800146671,0.706918701642277,0.9137135944928159,1.4904792277743675,4.136231501519941,dual_text,0.6367686058971826,0.7492334246635437,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
83,0.6346539941681202,2026-04-12 21:14:57.971054,2026-04-12 21:15:10.336210,0 days 00:00:12.365156,200,1,2,0.679564331433098,2.381175095814964,0.7785255992088522,0.014823752082974971,0.654222730719008,2,9,1000,1.4786342179237575,400,3,1,1.2702326106862802,0.00033484322483071186,0.022892383096011396,0.734557793540342,0.9731569990110653,1.4786342179237575,3.8106978320588407,dual_text,0.6423126261168265,0.7514278292655945,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
84,0.5664833667919635,2026-04-12 21:15:10.336462,2026-04-12 21:15:22.006902,0 days 00:00:11.670440,200,1,2,0.7314051061299769,2.3752831424608543,0.8479499113974643,0.09121325133787726,0.6570929144794391,2,9,1200,1.4511610344014474,450,3,1,1.6133194068581826,9.400426304617214e-05,0.22655752453161399,0.7368477832135991,1.0599373892468305,1.4511610344014474,4.839958220574548,dual_text,0.5743211816226721,0.6963401436805725,0.7164179104477612,0.9230769230769231,0.5853658536585366,COMPLETE
