number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
70,0.7164179104477612,2026-04-14 12:02:27.626211,2026-04-14 12:02:36.285672,0 days 00:00:08.659461,0.0019805683447977097,150,3,2,sigmoid,400,2,2,0.7164179104477612,0.9230769230769231,0.5853658536585366,0.7848177966,COMPLETE
71,0.782608695652174,2026-04-14 12:02:36.285897,2026-04-14 12:02:40.063880,0 days 00:00:03.777983,0.0014179585995699,100,3,2,isotonic,400,5,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.8177242813,COMPLETE
72,0.782608695652174,2026-04-14 12:02:40.064097,2026-04-14 12:02:43.905815,0 days 00:00:03.841718,0.0016742471708360493,100,3,2,isotonic,400,5,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.7652464495,COMPLETE
73,0.782608695652174,2026-04-14 12:02:43.906045,2026-04-14 12:02:47.816581,0 days 00:00:03.910536,0.001043730870969049,100,3,2,isotonic,400,5,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.8288361244,COMPLETE
74,0.7647058823529411,2026-04-14 12:02:47.816810,2026-04-14 12:02:51.376697,0 days 00:00:03.559887,0.0026162031172107525,100,3,2,isotonic,500,5,2,0.7647058823529411,0.9629629629629629,0.6341463414634146,0.8800614747,COMPLETE
75,0.7714285714285715,2026-04-14 12:02:51.376951,2026-04-14 12:02:55.151443,0 days 00:00:03.774492,0.0012857811786024308,150,3,2,isotonic,300,5,2,0.7714285714285715,0.9310344827586207,0.6585365853658537,0.7823288092,COMPLETE
76,0.7647058823529411,2026-04-14 12:02:55.151643,2026-04-14 12:02:59.303641,0 days 00:00:04.151998,0.001958902977356458,50,3,2,isotonic,400,5,2,0.7647058823529411,0.9629629629629629,0.6341463414634146,0.8981230553,COMPLETE
77,0.7352941176470589,2026-04-14 12:02:59.303849,2026-04-14 12:03:03.819574,0 days 00:00:04.515725,0.003929041107938223,100,3,2,isotonic,400,5,2,0.7352941176470589,0.9259259259259259,0.6097560975609756,0.7893391351,COMPLETE
78,0.782608695652174,2026-04-14 12:03:03.819919,2026-04-14 12:03:08.389091,0 days 00:00:04.569172,0.001683103406205935,150,3,2,isotonic,800,4,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.7406107858,COMPLETE
79,0.7647058823529411,2026-04-14 12:03:08.389299,2026-04-14 12:03:12.703660,0 days 00:00:04.314361,0.0024636828662889846,100,3,2,isotonic,300,5,2,0.7647058823529411,0.9629629629629629,0.6341463414634146,0.8894594209,COMPLETE
