feature,coef,abs_coef
tfidf_aux::features,-0.0072309192928952685,0.0072309192928952685
risk_filename_count,-0.00722470490548338,0.00722470490548338
tfidf_readme::tracking,0.007193767275409165,0.007193767275409165
tfidf_readme::script,-0.0071146174757287396,0.0071146174757287396
tfidf_aux::exchange,0.007103989372307198,0.007103989372307198
tfidf_readme::real-time,-0.007102810250981431,0.007102810250981431
tfidf_readme::required,-0.007059830734152595,0.007059830734152595
tfidf_aux::chainlink,-0.006921342056047724,0.006921342056047724
tfidf_aux::copytrading,0.006847923913671499,0.006847923913671499
tfidf_aux::copytrading bot,0.006847923913671499,0.006847923913671499
tfidf_aux::polymarket copytrading,0.006847923913671499,0.006847923913671499
tfidf_readme::market,0.006844547053909015,0.006844547053909015
tfidf_aux::solidity web3,-0.006835289042417672,0.006835289042417672
tfidf_readme::portfolio,-0.006825889959318358,0.006825889959318358
tfidf_aux::nextjs,-0.0066722582834880945,0.0066722582834880945
tfidf_aux::wallet web3,-0.006657630812448802,0.006657630812448802
tfidf_aux::dapps,-0.006546059832673585,0.006546059832673585
test_related_file_count,-0.0065267040124148785,0.0065267040124148785
tfidf_aux::chain,-0.006515030855478496,0.006515030855478496
tfidf_readme::vs,-0.006491992978929057,0.006491992978929057
stargazers_count,-0.00644433604104187,0.00644433604104187
watchers_count,-0.0064268701963652655,0.0064268701963652655
tfidf_aux::multiple,-0.006417504108488488,0.006417504108488488
tfidf_aux::based,0.006408517303752911,0.006408517303752911
is_user_deleted,-0.006368215263790161,0.006368215263790161
tfidf_readme::size,0.006346455575764226,0.006346455575764226
readme_raw_len,0.006207331798345083,0.006207331798345083
readme_length,0.006207331798345083,0.006207331798345083
tfidf_aux::blockchain cryptocurrency,-0.006151627478658906,0.006151627478658906
has_archive_files,-0.006123946243498067,0.006123946243498067
tfidf_readme::uint256,-0.006058350694966078,0.006058350694966078
tfidf_aux::cryptocurrencies,-0.006019910381262589,0.006019910381262589
tfidf_readme::risk,-0.006012040868831048,0.006012040868831048
tfidf_readme::software,-0.006004246620746079,0.006004246620746079
tfidf_aux::android,-0.005930868302743787,0.005930868302743787
tfidf_aux::free,-0.005895252062996701,0.005895252062996701
tfidf_aux::nft marketplace,-0.005889704027497876,0.005889704027497876
tfidf_readme::start,-0.005875765040623649,0.005875765040623649
tfidf_readme::update,-0.005825360874964508,0.005825360874964508
